package_case,bcr_cog_median,bcr_cog_p5,bcr_cog_p95,bcr_cog_fail_pct,bcr_total_median,bcr_total_p5,bcr_total_p95,bcr_total_fail_pct
Kitchen Baseline,4.614585822698946,1.6487824192992944,12.790212044041958,0.67,5.692547955975459,2.2140635623108613,14.67484167215751,0.09
Kohl Baseline,6.244528001896519,1.9593191809266948,17.976031149926445,0.51,6.824723821036207,2.2409149718286945,18.918832110146788,0.3
Kitchen Disadvantaged Setting,1.8048407473542734,0.6436616170988934,4.974847377322925,17.43,2.277640300012288,0.8668115125304147,5.889906326702138,7.86
Kohl Disadvantaged Setting,1.9797571519237125,0.6027808455111848,5.8057776246588295,17.419999999999998,2.151636921645275,0.6869643563839904,6.083147465542663,13.74
