package,baseline_bcr_cog_median,scenario_bcr_cog_median,pct_change_bcr_cog_median,baseline_bcr_total_median,scenario_bcr_total_median,pct_change_bcr_total_median,baseline_fail_pct_total,scenario_fail_pct_total
Kitchen,4.614585822698946,1.8048407473542734,-60.88834801865987,5.692547955975459,2.277640300012288,-59.98908893474578,0.09,7.86
Kohl,6.244528001896519,1.9797571519237125,-68.29612820500697,6.824723821036207,2.151636921645275,-68.4729085298196,0.3,13.74
