package,spillover_share,base_cvd_benefit,spillover_cvd_benefit,cvd_multiplier
kitchen,0.5,12.406749844404036,15.221328875499026,1.2268586911474226
kohl,0.5,1.2263960919803871,1.8395941379705807,1.5
