package,baseline_bcr_cog_median,scenario_bcr_cog_median,pct_change_bcr_cog_median,baseline_bcr_total_median,scenario_bcr_total_median,pct_change_bcr_total_median,baseline_fail_pct_total,scenario_fail_pct_total
Kitchen,4.614585822698946,2.4151622864583535,-47.662425637892014,5.692547955975459,2.9845639920009446,-47.570683372670544,0.09,2.4699999999999998
Kohl,6.244528001896519,3.1222640009482596,-50.0,6.824723821036207,3.412535234165333,-49.99746035661259,0.3,3.5900000000000003
